Date,Sale Price
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/29/2013,357000
7/29/2013,357000
7/29/2013,357000
7/26/2013,330000
7/26/2013,330000
7/26/2013,330000
7/26/2013,330000
7/25/2013,327600
7/11/2013,180500
7/9/2013,362500
6/24/2013,300000
6/20/2013,332000
6/19/2013,350000
5/31/2013,337000
5/31/2013,335000
5/31/2013,335000
5/31/2013,285000
5/31/2013,285000
5/31/2013,285000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,370000
5/30/2013,340000
5/30/2013,350000
5/29/2013,365000
5/29/2013,360000
5/20/2013,370000
5/16/2013,342500
5/16/2013,342000
5/15/2013,350000
5/15/2013,330000
5/8/2013,355000
5/1/2013,350000
5/1/2013,350000
4/30/2013,370000
4/29/2013,330000
4/26/2013,355000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/18/2013,320000
4/17/2013,370000
4/17/2013,370000
4/17/2013,355000
4/11/2013,370000
4/11/2013,370000
4/10/2013,330000
4/10/2013,335000
4/10/2013,325000
4/10/2013,325000
4/10/2013,325000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,325000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/22/2013,355000
3/6/2013,360000
3/1/2013,360000
3/1/2013,360000
3/1/2013,360000
3/1/2013,370000
3/1/2013,370000
3/1/2013,370000
3/1/2013,370000
3/1/2013,360000
2/28/2013,350000
2/28/2013,350000
2/28/2013,348000
2/25/2013,351000
2/25/2013,315000
2/13/2013,370000
2/11/2013,330000
2/6/2013,360000
2/6/2013,370000
2/4/2013,370000
2/4/2013,370000
2/4/2013,370000
2/4/2013,370000
1/31/2013,350000
1/31/2013,340000
1/30/2013,340000
1/25/2013,295000
1/23/2013,350000
1/23/2013,370000
1/22/2013,50000
1/9/2013,360000
1/9/2013,360000
1/8/2013,360000
1/8/2013,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,325500
12/28/2012,325500
12/28/2012,325500
12/28/2012,325500
12/28/2012,348000
12/28/2012,348000
12/28/2012,365000
12/28/2012,365000
12/28/2012,365000
12/27/2012,183000
12/27/2012,183000
12/27/2012,183000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,325500
12/24/2012,325500
12/24/2012,325500
12/21/2012,307230
12/21/2012,307230
12/21/2012,307230
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/13/2012,360000
12/12/2012,375000
12/12/2012,375000
12/12/2012,370000
12/12/2012,370000
12/12/2012,365000
12/11/2012,50000
12/5/2012,375000
12/5/2012,375000
12/5/2012,375000
12/5/2012,375000
12/4/2012,50000
11/30/2012,348000
11/30/2012,348000
11/30/2012,145000
11/29/2012,348000
11/29/2012,348000
11/28/2012,375000
11/28/2012,375000
11/27/2012,385000
11/20/2012,107500
11/20/2012,350000
11/16/2012,360000
11/9/2012,370000
11/9/2012,370000
11/9/2012,360000
11/5/2012,360000
10/31/2012,335000
10/31/2012,335000
10/31/2012,335000
10/31/2012,335000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,335000
10/31/2012,335000
10/31/2012,335000
10/31/2012,335000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,335000
10/31/2012,335000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/31/2012,347000
10/30/2012,345000
10/30/2012,345000
10/30/2012,345000
10/30/2012,345000
10/30/2012,345000
10/30/2012,345000
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/25/2012,29617
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/24/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/22/2012,345000
10/18/2012,370000
10/18/2012,385000
10/18/2012,375000
10/18/2012,375000
10/18/2012,375000
10/18/2012,285000
10/17/2012,345000
10/17/2012,345000
10/17/2012,345000
10/17/2012,345000
10/17/2012,345000
10/17/2012,345000
10/17/2012,370000
10/15/2012,300000
10/15/2012,290000
10/12/2012,168000
10/4/2012,330000
10/4/2012,330000
10/4/2012,330000
10/2/2012,380000
10/1/2012,340000
9/28/2012,350000
9/27/2012,370000
9/27/2012,360000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/27/2012,375000
9/20/2012,385000
9/20/2012,380000
9/19/2012,320000
9/17/2012,220000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,345000
9/14/2012,350000
9/14/2012,350000
9/14/2012,335000
9/14/2012,335000
9/13/2012,330000
9/13/2012,370000
9/13/2012,370000
9/13/2012,370000
9/12/2012,360000
9/12/2012,380000
9/12/2012,382000
9/11/2012,320000
9/11/2012,325000
9/11/2012,325000
9/7/2012,335000
9/7/2012,335000
9/7/2012,335000
9/7/2012,335000
9/4/2012,330000
9/4/2012,330000
9/4/2012,330000
9/4/2012,330000
8/31/2012,335000
8/31/2012,335000
8/31/2012,335000
8/31/2012,335000
8/31/2012,335000
8/30/2012,330000
8/30/2012,330000
8/30/2012,390000
8/30/2012,390000
8/30/2012,325000
8/28/2012,330000
8/27/2012,348000
8/27/2012,348000
8/27/2012,345000
8/27/2012,345000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/27/2012,348000
8/22/2012,348000
8/22/2012,348000
8/22/2012,348000
8/22/2012,348000
8/22/2012,348000
8/22/2012,348000
8/21/2012,348000
8/21/2012,348000
8/21/2012,348000
8/21/2012,348000
8/17/2012,348000
8/17/2012,348000
8/17/2012,348000
8/17/2012,348000
8/17/2012,348000
8/17/2012,348000
8/16/2012,348000
8/16/2012,348000
8/16/2012,348000
8/16/2012,348000
8/16/2012,348000
8/16/2012,348000
8/16/2012,385000
8/15/2012,350000
8/15/2012,330000
8/15/2012,350000
8/15/2012,350000
8/14/2012,348000
8/14/2012,348000
8/14/2012,348000
8/14/2012,348000
8/14/2012,348000
8/14/2012,348000
8/13/2012,330000
8/13/2012,330000
8/13/2012,330000
8/13/2012,381000
8/13/2012,381000
7/30/2012,378000
7/27/2012,325000
7/27/2012,325000
7/27/2012,325000
7/27/2012,325000
6/27/2012,335000
6/27/2012,330000
6/28/2012,146000
6/28/2012,370000
6/28/2012,375000
6/29/2012,375000
6/29/2012,370000
7/5/2012,220000
7/6/2012,382000
7/6/2012,382000
7/10/2012,365001
7/10/2012,365001
7/10/2012,365001
7/10/2012,365001
7/10/2012,365001
7/12/2012,365001
7/12/2012,365001
7/12/2012,365001
7/12/2012,375000
7/12/2012,365001
7/12/2012,365001
7/19/2012,380000
7/19/2012,370000
7/19/2012,390000
7/19/2012,375000
7/20/2012,382000
7/20/2012,385000
7/23/2012,380000
6/29/2012,375000
6/29/2012,370000
6/28/2012,146000
6/28/2012,370000
6/28/2012,375000
6/27/2012,335000
6/27/2012,330000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/22/2012,325000
6/13/2012,360000
6/7/2012,320000
6/7/2012,320000
6/7/2012,320000
6/5/2012,315000
6/5/2012,315000
6/1/2012,335000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
